Grade,Rolling Cum GPA,Term 1,Term 2
8,2.571,,2.286
7,3.914,4,4
6,,2.429,2.429
8,3.061,3.143,3.286
6,,3.286,3.143
7,3.686,3.714,3.714
7,3.914,3.714,4
6,,1.857,1.571
7,2.286,2.286,2
6,,3.571,3.714
6,,2.286,2.429
7,3.943,4,4
6,,3.571,3.429
8,3.14,3.429,3
8,2,2.286,2.143
6,,2.714,2.429
6,,3.571,3.429
6,,2.286,2.286
8,2.917,2.857,3.143
8,2.646,2.714,2.857
8,1.723,2.286,1.857
6,,2.429,1.857
7,2.917,3.143,3
6,,3.571,3.571
8,2.5,3.143,2.286
8,,1.714,1.429
7,3.771,3.714,3.857
7,3.229,3,2.857
8,,3.143,3.143
8,3.147,3.286,3
6,,2.857,2.571
8,3.762,3.857,3.857
7,2.086,2.286,1.714
7,3.382,3.286,3.286
8,1.265,1.286,1.286
6,,2.143,1.286
7,3.676,4,3.857
6,,2.143,1.571
8,2.271,2.714,2.714
7,3.176,3.571,3.571
6,,2.286,
7,3.457,3.429,3.286
7,2.2,2.571,2.286
7,3.257,3.429,3.286
7,2.4,2.571,2.286
7,2.629,2.429,2.571
6,,3.571,3.571
6,,3.286,2.857
6,,3,2.714
7,3.571,3.857,4
6,,3.857,3.571
8,3.277,3.429,3.714
6,,3.714,4
8,2.085,1.714,1.857
8,3.163,3.286,3.429
7,3.629,3.857,3.571
7,2.314,2.143,2.143
7,2.743,2.429,2.714
8,3.429,3.714,3.429
7,3.114,3.143,3.143
8,2.388,2.571,2.714
7,2.886,3.143,2.714
8,2.708,3.143,2.714
7,1.714,2,1.714
8,2.49,3.286,2.714
7,3.686,3.714,3.857
7,2.6,3.143,2.429
7,3.543,3.714,3.286
6,,3.286,3
8,2.5,2.286,2.429
7,2.321,2.429,2.429
6,,2.429,1.714
7,2.057,2.429,2.143
7,2.036,2.143,1.714
6,,3.857,3.714
8,2.786,2.571,2.857
7,2.571,2.571,
6,,3,2.857
8,2.19,2,
6,,3.857,3.571
8,2.625,2.857,3
8,3.771,3.571,3.571
6,,2.143,1.571
7,2.036,1.714,1.286
7,2.086,1.857,1.857
7,2.579,2.8,
8,3.071,2.714,2.857
7,3.029,3.429,3.286
8,2.375,2.429,2.143
6,,2.857,2.857
6,,3,3
8,2.114,2.571,2.714
8,3.06,3.286,2.571
7,3.543,3.857,3.714
8,2.167,2.714,2.143
6,,2.429,2.286
6,,2.286,1.857
6,,3.429,3.286
7,2.057,2.429,2.286
6,,3,2.714
8,3.429,3.571,3.429
7,3.914,4,4
7,,3.429,3.429
8,,2.286,2.143
8,2.261,2.571,2.429
8,1.429,1.714,2
8,2.958,3.143,3.143
8,3.592,3.714,3.571
8,3.714,3.857,3.857
8,1.939,1.714,1.286
8,1.75,2.286,1.857
7,2.971,2.857,3.143
6,,0.571,0.571
8,3.041,3,3
8,2.596,2.714,2.429
6,,3,2.143
8,2.437,3,2.571
8,3.878,4,3.857
6,,2.857,3.143
7,3.029,2.714,2.714
7,2.429,2.286,2.571
7,2.217,2,
8,3.633,3.714,3.714
8,2.786,2.857,2.857
6,,3.286,2.714
7,2.593,2.571,2.571
8,2.816,3.286,3
7,2.286,2.286,2.286
7,2.2,2.286,2
6,,3.571,3.571
7,3.914,3.857,3.857
7,2.571,2.429,2.143
7,3.486,3.429,3.571
8,2.98,3,2.286
6,,3,2.714
6,,3.286,3.429
6,,3.571,3.714
7,3.6,4,3.857
6,,3,3.286
6,,3.714,3.571
7,2.571,2.857,2.429
8,2.553,3.571,3.143
6,,2.714,2
8,3.571,3.571,3.857
8,3.286,3.286,3.143
8,1.771,1.143,1.286
8,2.62,2.857,2.429
6,,2.714,2.143
6,,2.571,2.429
6,,3.857,3.429
8,2.826,2.714,2.286
7,2.086,2.143,2.286
6,,2.857,2.571
8,2.396,2,2.429
8,2.809,3.143,3.286
8,3.653,3.857,3.571
6,,3.857,4
6,,,
8,,,
8,2.646,2.857,2.857
7,2.667,2.571,
7,2.353,2.571,2.571
6,,3.571,3.571
7,3.529,3.571,3.286
6,,3.429,3
7,2.543,2.714,3.143
7,2.771,2.857,2.571
8,3.041,3.571,3.143
8,1.792,2.143,1.714
6,,3.143,2.857
7,2.5,3.286,2.286
6,,3.143,2.857
8,2.657,2.714,2.143
7,3.2,3.571,3.429
6,,1.429,1.571
8,1.667,1.143,1.714
7,,2.857,3.143
8,,2,2.143
6,,2.286,
8,2.479,2.714,2.571
8,2.735,2.429,2.571
7,3.059,2.857,2.714
7,3.853,3.714,3.714
6,,3.571,3.143
6,,3.286,3.286
7,3.382,3.429,3.429
7,2.29,2.571,2.571
6,,3.571,2.857
8,2.146,2.714,2.429
7,1.829,1.571,1.286
6,,1.857,1.857
7,2.192,2.571,2.286
6,,4,3.429
8,4,,
6,,2.714,2.857
7,2.486,2.429,2.571
7,3.357,,
8,3.776,3.857,3.571
6,,3.286,3.143
8,3.163,3,3.143
6,,2.571,2.571
7,2.286,1.571,2
6,,2.286,2
7,3.235,3.286,3.429
8,1.381,0.714,1
8,1.327,1.429,1.429
8,2.02,2,2.286
8,2.939,3.143,2.857
7,4,4,4
7,2.029,2.143,2.286
8,,3.429,2.714
6,,3,3
8,1.657,2.429,
7,3.743,3.571,3.714
6,,3.857,3.857
7,2.2,2.429,1.571
8,4,4,4
7,3.086,2.571,3.286
8,1.574,1.714,1.429
7,,2.286,1.429
8,1.75,1.857,1.714
6,,2.857,2.143
7,3.486,3.571,3.571
6,,2.714,2.714
8,2.776,2.714,2.429
6,,3.429,3.143
8,1.769,1.286,1.571
8,3.49,3.429,3.714
8,2.898,2.571,2.857
7,3.457,3.143,3.286
7,3.057,3.143,3.143
7,3.25,3.286,3.143
7,3.647,3.857,3.571
7,2.324,3,2.571
7,,2.714,2.714
6,,2,1.429
6,,3.429,3.286
8,3.543,3.571,3.143
6,,3.714,3.857
7,2.242,2.714,2.429
6,,4,3.857
7,2.429,2,2.286
6,,2.714,1.857
6,,3,3.143
8,0.667,1.429,0.571
7,3.543,3.857,4
6,,3.429,3.143
6,,3.714,3.143
7,3.4,3.714,3.571
7,2.8,2.571,2.571
7,3.714,3.571,3.857
